"m","beta","ell","high","prior","proposals","direct_max","formula_max"
4,0.999,0.5,0.8,1,523,0.5005,0.5005
5,0.2,0.05,0.15,0,4160,0.91,0.91
5,0.2,0.05,0.15,0.01,4160,0.9013,0.9013
5,0.2,0.05,0.15,0.3,4160,0.89,0.89
5,0.2,0.05,0.15,0.8,4160,0.89,0.89
5,0.2,0.05,0.15,1,4160,0.89,0.89
5,0.2,0.05,0.15,0.0344827586206897,4160,0.89,0.89
5,0.2,0.05,0.15,0.0229885057471264,4160,0.89,0.89
5,0.2,0.1,0.2,0,4160,0.9,0.9
5,0.2,0.1,0.2,0.01,4160,0.8914,0.8914
5,0.2,0.1,0.2,0.3,4160,0.88,0.88
5,0.2,0.1,0.2,0.8,4160,0.88,0.88
5,0.2,0.1,0.2,1,4160,0.88,0.88
5,0.2,0.1,0.2,0.0232558139534884,4160,0.88,0.88
5,0.2,0.2,0.7,0,4160,0.88,0.88
5,0.2,0.2,0.7,0.01,4160,0.88,0.88
5,0.2,0.2,0.7,0.3,4160,0.88,0.88
5,0.2,0.2,0.7,0.8,4160,0.88,0.88
5,0.2,0.2,0.7,1,4160,0.88,0.88
5,0.2,0.1,0.7,0,4160,0.9,0.9
5,0.2,0.1,0.7,0.01,4160,0.8914,0.8914
5,0.2,0.1,0.7,0.3,4160,0.88,0.88
5,0.2,0.1,0.7,0.8,4160,0.88,0.88
5,0.2,0.1,0.7,1,4160,0.88,0.88
5,0.2,0.1,0.7,0.0232558139534884,4160,0.88,0.88
5,0.2,0.5,0.8,0,4160,0.88,0.88
5,0.2,0.5,0.8,0.01,4160,0.88,0.88
5,0.2,0.5,0.8,0.3,4160,0.88,0.88
5,0.2,0.5,0.8,0.8,4160,0.88,0.88
5,0.2,0.5,0.8,1,4160,0.88,0.88
5,0.9,0.05,0.15,0,4159,0.595,0.595
5,0.9,0.05,0.15,0.01,4159,0.59085,0.59085
5,0.9,0.05,0.15,0.3,4159,0.505,0.505
5,0.9,0.05,0.15,0.8,4159,0.505,0.505
5,0.9,0.05,0.15,1,4159,0.505,0.505
5,0.9,0.05,0.15,0.325301204819277,4159,0.505,0.505
5,0.9,0.05,0.15,0.216867469879518,4159,0.505,0.505
5,0.9,0.1,0.2,0,4154,0.55,0.55
5,0.9,0.1,0.2,0.01,4154,0.5463,0.5463
5,0.9,0.1,0.2,0.3,4154,0.46,0.46
5,0.9,0.1,0.2,0.8,4154,0.46,0.46
5,0.9,0.1,0.2,1,4154,0.46,0.46
5,0.9,0.1,0.2,0.243243243243243,4154,0.46,0.46
5,0.9,0.1,0.2,0.243243243243243,4154,0.46,0.46
5,0.9,0.2,0.7,0,3352,0.46,0.46
5,0.9,0.2,0.7,0.01,3352,0.46,0.46
5,0.9,0.2,0.7,0.3,3352,0.46,0.46
5,0.9,0.2,0.7,0.8,3352,0.46,0.46
