"beta","t0","t1","o","mu2_star","a0_1","a1","no_cheap_H_margin","candidate_pattern","any_H_prefers_U","interior_Delta_crossing","mu_share_H_prefers_U","max_V_W_U","min_entry_gap_M_minus_U"
0.6,0.35,0.46,0,0.169230769230769,0.416,0.46,0.3,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0486666666666667,0.0346666666666667
0.65,0.35,0.46,0,0.169230769230769,0.4215,0.46,0.295833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0482083333333333,0.035125
0.7,0.35,0.46,0,0.169230769230769,0.427,0.46,0.291666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.04775,0.0355833333333333
0.75,0.35,0.46,0,0.169230769230769,0.4325,0.46,0.2875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0472916666666667,0.0360416666666667
0.8,0.35,0.46,0,0.169230769230769,0.438,0.46,0.283333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0468333333333333,0.0365
0.85,0.35,0.46,0,0.169230769230769,0.4435,0.46,0.279166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.046375,0.0369583333333333
0.9,0.35,0.46,0,0.169230769230769,0.449,0.46,0.275,"delay_plus_pooling",TRUE,FALSE,0.922077922077922,0.04875,0.0345833333333333
0.45,0.4,0.51,0,0.183333333333333,0.4495,0.51,0.3625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.045875,0.0374583333333333
0.5,0.4,0.51,0,0.183333333333333,0.455,0.51,0.358333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0454166666666667,0.0379166666666667
0.55,0.4,0.51,0,0.183333333333333,0.4605,0.51,0.354166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0449583333333333,0.038375
0.6,0.4,0.51,0,0.183333333333333,0.466,0.51,0.35,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0445,0.0388333333333333
0.65,0.4,0.51,0,0.183333333333333,0.4715,0.51,0.345833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0440416666666667,0.0392916666666667
0.7,0.4,0.51,0,0.183333333333333,0.477,0.51,0.341666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0435833333333333,0.03975
0.75,0.4,0.51,0,0.183333333333333,0.4825,0.51,0.3375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.043125,0.0402083333333333
0.8,0.4,0.51,0,0.183333333333333,0.488,0.51,0.333333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0426666666666667,0.0406666666666667
0.85,0.4,0.51,0,0.183333333333333,0.4935,0.51,0.329166666666667,"delay_plus_pooling",TRUE,FALSE,0.959040959040959,0.0425,0.0408333333333333
0.9,0.4,0.51,0,0.183333333333333,0.499,0.51,0.325,"delay_plus_pooling",TRUE,FALSE,0.906093906093906,0.045,0.0383333333333333
0.45,0.1,0.24,0,0.155555555555556,0.163,0.24,0.0625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.06975,0.0135833333333333
0.5,0.1,0.24,0,0.155555555555556,0.17,0.24,0.0583333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0691666666666667,0.0141666666666667
0.55,0.1,0.24,0,0.155555555555556,0.177,0.24,0.0541666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0685833333333333,0.01475
0.6,0.1,0.24,0,0.155555555555556,0.184,0.24,0.05,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.068,0.0153333333333333
0.65,0.1,0.24,0,0.155555555555556,0.191,0.24,0.0458333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0674166666666667,0.0159166666666667
0.7,0.1,0.24,0,0.155555555555556,0.198,0.24,0.0416666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0668333333333333,0.0165
0.75,0.1,0.24,0,0.155555555555556,0.205,0.24,0.0375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.06625,0.0170833333333333
