"o","branch","gap"
0.435575848765432,"H excluded; majority agreement",-0.0971835625
0.436578907407407,"H excluded; majority agreement",-0.0963710849999999
0.437581966049383,"H excluded; majority agreement",-0.0955586075
0.438585024691358,"H excluded; majority agreement",-0.09474613
0.439588083333333,"H excluded; majority agreement",-0.0939336525
0.440591141975309,"H excluded; majority agreement",-0.0931211749999999
0.441594200617284,"H excluded; majority agreement",-0.0923086975
0.442597259259259,"H excluded; majority agreement",-0.09149622
0.443600317901235,"H excluded; majority agreement",-0.0906837425
0.44460337654321,"H excluded; majority agreement",-0.089871265
0.445606435185185,"H excluded; majority agreement",-0.0890587875
0.44660949382716,"H excluded; majority agreement",-0.08824631
0.447612552469136,"H excluded; majority agreement",-0.0874338325
0.448615611111111,"H excluded; majority agreement",-0.086621355
0.449618669753086,"H excluded; majority agreement",-0.0858088775
0.450621728395062,"H excluded; majority agreement",-0.0849964
0.451624787037037,"H excluded; majority agreement",-0.0841839225
0.452627845679012,"H excluded; majority agreement",-0.083371445
0.453630904320988,"H excluded; majority agreement",-0.0825589675
0.454633962962963,"H excluded; majority agreement",-0.08174649
0.455637021604938,"H excluded; majority agreement",-0.0809340125
0.456640080246914,"H excluded; majority agreement",-0.080121535
0.457643138888889,"H excluded; majority agreement",-0.0793090575
0.458646197530864,"H excluded; majority agreement",-0.07849658
0.45964925617284,"H excluded; majority agreement",-0.0776841025
0.460652314814815,"H excluded; majority agreement",-0.076871625
0.46165537345679,"H excluded; majority agreement",-0.0760591475
0.462658432098765,"H excluded; majority agreement",-0.07524667
0.463661490740741,"H excluded; majority agreement",-0.0744341925
0.464664549382716,"H excluded; majority agreement",-0.073621715
0.465667608024691,"H excluded; majority agreement",-0.0728092375
0.466670666666667,"H excluded; majority agreement",-0.07199676
0.467673725308642,"H excluded; majority agreement",-0.0711842825
0.468676783950617,"H excluded; majority agreement",-0.070371805
0.469679842592593,"H excluded; majority agreement",-0.0695593275
0.470682901234568,"H excluded; majority agreement",-0.06874685
0.471685959876543,"H excluded; majority agreement",-0.0679343725
0.472689018518519,"H excluded; majority agreement",-0.067121895
0.473692077160494,"H excluded; majority agreement",-0.0663094175
0.474695135802469,"H excluded; majority agreement",-0.06549694
0.475698194444444,"H excluded; majority agreement",-0.0646844624999999
0.47670125308642,"H excluded; majority agreement",-0.063871985
0.477704311728395,"H excluded; majority agreement",-0.0630595075
0.47870737037037,"H excluded; majority agreement",-0.06224703
0.479710429012346,"H excluded; majority agreement",-0.0614345524999999
0.480713487654321,"H excluded; majority agreement",-0.060622075
0.481716546296296,"H excluded; majority agreement",-0.0598095975
0.482719604938272,"H excluded; majority agreement",-0.05899712
0.483722663580247,"H excluded; majority agreement",-0.0581846424999999
0.484725722222222,"H excluded; majority agreement",-0.057372165
0.485728780864198,"H excluded; majority agreement",-0.0565596875
0.486731839506173,"H excluded; majority agreement",-0.05574721
0.487734898148148,"H excluded; majority agreement",-0.0549347325
0.488737956790123,"H excluded; majority agreement",-0.054122255
0.489741015432099,"H excluded; majority agreement",-0.0533097775
0.490744074074074,"H excluded; majority agreement",-0.0524973
0.491747132716049,"H excluded; majority agreement",-0.0516848225
0.492750191358025,"H excluded; majority agreement",-0.050872345
0.49375325,"H excluded; majority agreement",-0.0500598674999999
0.494756308641975,"H excluded; majority agreement",-0.04924739
0.495759367283951,"H excluded; majority agreement",-0.0484349125
0.496762425925926,"H excluded; majority agreement",-0.047622435
0.497765484567901,"H excluded; majority agreement",-0.0468099575
0.498768543209877,"H excluded; majority agreement",-0.04599748
0.499771601851852,"H excluded; majority agreement",-0.0451850025
0.500774660493827,"H excluded; majority agreement",-0.044372525
0.501777719135802,"H excluded; majority agreement",-0.0435600475
0.502780777777778,"H excluded; majority agreement",-0.04274757
0.503783836419753,"H excluded; majority agreement",-0.0419350925
0.504786895061728,"H excluded; majority agreement",-0.0411226149999999
0.505789953703704,"H excluded; majority agreement",-0.0403101375
0.506793012345679,"H excluded; majority agreement",-0.03949766
0.507796070987654,"H excluded; majority agreement",-0.0386851825
0.50879912962963,"H excluded; majority agreement",-0.0378727049999999
0.509802188271605,"H excluded; majority agreement",-0.0370602275
0.51080524691358,"H excluded; majority agreement",-0.03624775
0.511808305555556,"H excluded; majority agreement",-0.0354352725
0.512811364197531,"H excluded; majority agreement",-0.0346227949999999
0.513814422839506,"H excluded; majority agreement",-0.0338103175
0.514817481481481,"H excluded; majority agreement",-0.03299784
0.515820540123457,"H excluded; majority agreement",-0.0321853625
0.516823598765432,"H excluded; majority agreement",-0.0313728849999999
0.517826657407407,"H excluded; majority agreement",-0.0305604075
0.518829716049383,"H excluded; majority agreement",-0.02974793
0.519832774691358,"H excluded; majority agreement",-0.0289354525
0.520835833333333,"H excluded; majority agreement",-0.028122975
0.521838891975309,"H excluded; majority agreement",-0.0273104975
0.522841950617284,"H excluded; majority agreement",-0.02649802
0.523845009259259,"H excluded; majority agreement",-0.0256855425
0.524848067901235,"H excluded; majority agreement",-0.024873065
0.52585112654321,"H excluded; majority agreement",-0.0240605875
0.526854185185185,"H excluded; majority agreement",-0.02324811
0.52785724382716,"H excluded; majority agreement",-0.0224356325
0.528860302469136,"H excluded; majority agreement",-0.021623155
0.529863361111111,"H excluded; majority agreement",-0.0208106774999999
0.530866419753086,"H excluded; majority agreement",-0.0199982
0.531869478395062,"H excluded; majority agreement",-0.0191857225
0.532872537037037,"H excluded; majority agreement",-0.018373245
0.533875595679012,"H excluded; majority agreement",-0.0175607674999999
0.534878654320988,"H excluded; majority agreement",-0.01674829
0.535881712962963,"H excluded; majority agreement",-0.0159358125
0.536884771604938,"H excluded; majority agreement",-0.0151233349999999
0.537887830246914,"H excluded; majority agreement",-0.0143108574999999
0.538890888888889,"H excluded; majority agreement",-0.01349838
0.539893947530864,"H excluded; majority agreement",-0.0126859025
0.54089700617284,"H excluded; majority agreement",-0.011873425
0.541900064814815,"H excluded; majority agreement",-0.0110609474999999
0.54290312345679,"H excluded; majority agreement",-0.01024847
0.543906182098765,"H excluded; majority agreement",-0.0094359925
0.544909240740741,"H excluded; majority agreement",-0.00862351499999998
0.545912299382716,"H excluded; majority agreement",-0.00781103749999992
0.546915358024691,"H excluded; majority agreement",-0.00699855999999995
0.547918416666667,"H excluded; majority agreement",-0.00618608250000004
0.548921475308642,"H excluded; majority agreement",-0.00537360499999998
0.549924533950617,"H excluded; majority agreement",-0.00456112749999991
0.550927592592593,"H excluded; majority agreement",-0.00374865
0.551930651234568,"H excluded; majority agreement",-0.00293617250000003
0.552933709876543,"H excluded; majority agreement",-0.00212369499999997
0.553936768518519,"H excluded; majority agreement",-0.00131121749999996
