"node","status","N","pair_id","o_0","o_1","beta","nu","cell_id","selected_class","proposer_payoff","H_theta_0","H_theta_1"
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.75,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.95,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.99999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.99999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,1,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,1e-14,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,1e-12,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,1e-08,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.05,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.1999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.19999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.199999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.19999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.2,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.20000000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.200000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.20000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.2000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.25,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772051898734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772141898734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772151897734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772151898724,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772151898734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772151898744,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772151899734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772161898734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.341772251898734,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.5,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.75,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666566666667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666656666667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666666665667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666666666657,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666666666667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666666666677,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666666667667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666676666667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.866666766666667,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.95,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.99999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,0.99999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.9,1,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,1e-14,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,1e-12,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,1e-08,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.05,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.1999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.19999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.199999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.19999999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.2,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.20000000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.200000000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.20000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.2000001,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.25,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899758956276,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899848956276,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899858955276,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899858956266,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899858956276,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899858956286,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899858957276,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.99,0.418899868956276,"N1-UNIQUE","E",1,0.0625,0.25
